File	F3-4.dat

t(sec)	z(m)
337.75	2.968909276
338	3.066258919
338.25	3.136085627
338.5	3.176860347
338.75	3.178389399
339	3.155657492
339.25	3.111722732
339.5	3.037206932
339.75	2.943017329
340	2.82293578
340.25	2.70988787
340.5	2.597655454
340.75	2.512945973
341	2.453312946
341.25	2.409378186
341.5	2.396738022
341.75	2.414067278
342	2.458002039
342.25	2.489398573
342.5	2.521610601
342.75	2.544342508
343	2.5490316
343.25	2.524668705
343.5	2.494087666
343.75	2.44077472
344	2.39204893
344.25	2.333231397
344.5	2.284505607
344.75	2.25861366
345	2.268093782
345.25	2.304179409
345.5	2.365341488
345.75	2.458002039
346	2.550560652
346.25	2.654230377
346.5	2.771151886
346.75	2.879408767
347	2.970438328
347.25	3.049745158
347.5	3.090519878
347.75	3.119571865
348	3.102344546
348.25	3.064627931
348.5	3.001121305
348.75	2.913965341
349	2.813557594
349.25	2.696534149
349.5	2.588277268
349.75	2.485423038
350	2.403058104
350.25	2.341794088
350.5	2.326911315
350.75	2.363812436
351	2.422629969
351.25	2.488583078
351.5	2.547502548
351.75	2.597655454
352	2.620489297
352.25	2.631396534
352.5	2.617329256
352.75	2.597655454
353	2.57961264
353.25	2.573394495
353.5	2.58980632
353.75	2.620489297
354	2.66911315
354.25	2.728746177
354.5	2.761671764
354.75	2.780530071
355	2.786034659
355.25	2.779001019
355.5	2.756167176
355.75	2.740570846
356	2.728746177
356.25	2.735779817
356.5	2.74841998
356.75	2.769520897
357	2.798572885
357.25	2.834658512
357.5	2.839449541
357.75	2.851987768
358	2.83312946
358.25	2.790723751
358.5	2.734250765
358.75	2.660448522
359	2.599286442
359.25	2.530988787
359.5	2.480733945
359.75	2.443832824
360	2.436799185
360.25	2.477573904
360.5	2.556880734
360.75	2.65891947
361	2.756167176
361.25	2.837818552
361.5	2.89745158
361.75	2.915494393
362	2.902140673
362.25	2.86687054
362.5	2.800203874
362.75	2.731906218
363	2.660448522
363.25	2.596126402
363.5	2.5490316
363.75	2.498776758
364	2.459531091
364.25	2.422629969
364.5	2.366972477
364.75	2.326911315
365	2.289296636
